"cerealName","parsedName","brand","dietLabels","healthLabels","calories","Energy_kcal","Total.lipid..fat._g","Fatty.acids..total.saturated_g","Fatty.acids..total.trans_g","Fatty.acids..total.monounsaturated_g","Fatty.acids..total.polyunsaturated_g","Carbohydrate..by.difference_g","Carbohydrates..net._g","Fiber..total.dietary_g","Sugars..total_g","Protein_g","Cholesterol_mg","Sodium..Na_mg","Calcium..Ca_mg","Magnesium..Mg_mg","Potassium..K_mg","Iron..Fe_mg","Zinc..Zn_mg","Phosphorus..P_mg","Vitamin.A..RAE_µg","Vitamin.C..total.ascorbic.acid_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","Vitamin.B.6_mg","Folate..DFE_µg","Folate..food_µg","Folic.acid_µg","Vitamin.B.12_µg","Vitamin.D..D2...D3._µg","Vitamin.E..alpha.tocopherol._mg","Vitamin.K..phylloquinone._µg","Water_g","Energy_pct","Fat_pct","Saturated_pct","Carbs_pct","Fiber_pct","Protein_pct","Cholesterol_pct","Sodium_pct","Calcium_pct","Magnesium_pct","Potassium_pct","Iron_pct","Zinc_pct","Phosphorus_pct","Vitamin.A_pct","Vitamin.C_pct","Thiamin..B1._pct","Riboflavin..B2._pct","Niacin..B3._pct","Vitamin.B6_pct","Folate.equivalent..total._pct","Vitamin.B12_pct","Vitamin.D_pct","Vitamin.E_pct","Vitamin.K_pct","rawGPTRank","gptDescription"
"Cheerios","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"7.5","Cheerios :  is a classic toasted oat cereal. It has been enjoyed by people of all ages for over 70 years."
"Cheerios - Team","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"Cheerios and Cheerios Team Made by General Mills are the same product, so the rank would be 7.5.","Cheerios - Team :  is a popular breakfast cereal made from oats in the shape of rings, known for being an excellent source of dietary fiber. It has a light, mild flavor that can be enjoyed by itself or with other ingredients, such as fruits or nuts."
"Cheerios- Frosted","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"8","Cheerios- Frosted :  is a well-known breakfast cereal that combines the classic Cheerios texture with a sweet frosted taste. The cereal is made from whole grain oats and comes in a variety of flavors including original, honey nut and apple cinnamon."
"Cheerios-Apple Cinnamon","unparsed","generalMills","HIGH_FIBER, LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",308,308.26,1.55,0.43,0,0.31,0.08,100.58,34.31,66.27,2.71,4.98,0,12.48,1250.5,74.88,537.89,10.38,2.28,79.87,18.72,4.74,0.03,0.05,1.66,0.2,7.49,7.49,0,0,0,2.9,38.94,13.2,15.41,2.38,2.15,33.53,265.08,9.96,0,0.52,125.05,17.83,11.44,57.69,20.76,11.41,2.08,5.27,2.29,3.94,10.39,15.17,1.87,0,0,19.3,32.45,"I would rate Cheerios-Apple Cinnamon cereal a 8 out of 10.","Cheerios-Apple Cinnamon :  is a healthy breakfast cereal with a delicious apple-cinnamon flavor that makes it more enjoyable than plain Cheerios. It is also high in protein and other essential vitamins, minerals, and dietary fibers."
"Cheerios-Honey Nut","unparsed","generalMills","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"8","Cheerios-Honey Nut :  is a yummy crunchy cereal that is sweetened with honey and made with real nut pieces. It is a classic and well loved cereal enjoyed by kids and adults alike."
"Cheerios-Multi Grain","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"I would rate Cheerios Multi Grain cereal a 8.5 out of 10.","Cheerios-Multi Grain :  are a hearty light, crunchy mix of whole grain oats, corn, wheat, and rice. It has all the goodness of Honey Nut Cheerios with a unique multigrain flavor of its own."
"Chex, Corn","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",124,124.7,1.96,0.47,0.01,0.63,0.71,27.11,24.22,2.9,9.08,4.74,0,21.75,2.9,53.65,391.5,0.75,0.67,129.05,13.05,9.86,0.22,0.08,2.57,0.13,60.9,60.9,0,0,0,0.1,0.44,110.27,6.24,3.01,2.36,9.04,11.6,9.48,0,0.91,0.29,12.77,8.33,4.19,6.06,18.44,1.45,10.96,18.73,6.13,16.04,10.37,15.22,0,0,0.68,0.36,"6.5","Chex, Corn :  is a popular breakfast cereal that is made from whole grain,corn and rice with a light,crunchy taste.It is also gluten-free and contains 8 essential vitamins and minerals."
"Chex, Honey Nut","unparsed","generalMills","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"I would give Chex Honey Nut cereal a rank of 8.","Chex, Honey Nut :  offers a crunchy texture and a delicious honey nut flavor. It is a good source of fiber and has 8grams of whole grain per serving."
"Chex, Rice","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_SUGAR, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",702,702,1.13,0.31,NA,0.35,0.3,154.71,154.71,NA,NA,12.89,0,1.95,17.55,68.25,167.7,1.56,2.26,210.6,NA,0,0.14,0.09,3.12,0.28,17.55,17.55,0,0,0,NA,NA,25.14,35.1,1.74,1.54,51.57,NA,25.78,0,0.08,1.75,16.25,3.57,8.67,20.56,30.09,NA,0,11.38,7.2,19.5,21.75,4.39,0,0,NA,NA,"6.5","Chex, Rice :  is a crispy rice cereal. It has a light yet satisfying taste, making it a great snack or addition to breakfast."
"Chex, Wheat","unparsed","generalMills","HIGH_FIBER, LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",556,556.08,2.62,0.49,NA,0.3,1.1,124.72,103.72,21,0.69,17.39,0,3.36,45.36,211.68,666.96,5.39,4.42,828.24,0,0,0.66,0.16,8.06,0.46,68.88,68.88,0,0,0,1.7,NA,20.45,27.8,4.03,2.43,41.57,84,34.78,0,0.14,4.54,50.4,14.19,29.96,40.17,118.32,0,0,55.16,12.41,50.4,35.15,17.22,0,0,11.31,NA,"6.5","Chex, Wheat :  is a tasty nutritious cereal with wheat chex pieces made from whole grain wheat combined with Bran Flakes. It offers a delicious, crunchy way to start the day with 8 essential vitamins and minerals."
"Cinnamon Life","unparsed","quaker","HIGH_FIBER, LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",308,308.26,1.55,0.43,0,0.31,0.08,100.58,34.31,66.27,2.71,4.98,0,12.48,1250.5,74.88,537.89,10.38,2.28,79.87,18.72,4.74,0.03,0.05,1.66,0.2,7.49,7.49,0,0,0,2.9,38.94,13.2,15.41,2.38,2.15,33.53,265.08,9.96,0,0.52,125.05,17.83,11.44,57.69,20.76,11.41,2.08,5.27,2.29,3.94,10.39,15.17,1.87,0,0,19.3,32.45,"I would give Cinnamon Life cereal a rank of 8.5.","Cinnamon Life :  is a crunchy, flavorful breakfast cereal with a hint of cinnamon in every bite. It's an enjoyable snack that can be eaten as a cereal or straight out of the box."
"Cinnamon Toast Crunch","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",169,169.88,4.24,0.4,0.01,2.03,0.87,32.24,29.43,2.81,12.52,2.25,0,236.43,183.52,22.32,83.08,8.47,7.49,82.25,379.44,8.02,1.02,0.85,10.14,1.12,253.37,7.85,144.25,2.75,2.19,0.88,3.89,1.34,8.49,6.52,2.02,10.75,11.24,4.51,0,9.85,18.35,5.31,1.77,47.03,68.09,11.75,42.16,8.91,84.97,65.72,63.38,85.85,63.34,114.53,14.6,5.9,3.24,"8.5","Cinnamon Toast Crunch :  is a delicious, semi-sweet cereal that combines crunchy cinnamon squares with a light, airy texture. It's been a beloved breakfast favorite for generations!"
"Cocoa Krispies","unparsed","kellog","HIGH_FIBER, LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",196,196.08,11.78,6.94,NA,3.93,0.38,49.79,17.97,31.82,1.5,16.86,0,18.06,110.08,429.14,1310.64,11.92,5.86,631.24,0,0,0.07,0.21,1.88,0.1,27.52,27.52,0,0,0,0.09,2.15,2.58,9.8,18.13,34.7,16.6,127.28,33.71,0,0.75,11.01,102.18,27.89,66.22,53.24,90.18,0,0,5.59,15.94,11.74,7.81,6.88,0,0,0.57,1.79,"6.5","Cocoa Krispies : 's is a classic chocolatey cereal that is fun for the whole family. With its crisp rice cereal, chocolatey taste, and melt in your mouth texture, it's sure to satisfy your morning cravings."
"Cocoa Puffs","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",137,137.88,1.87,0.36,0,0.61,0.76,30.13,28.08,2.05,13.39,2.02,0,203.04,133.2,21.24,97.92,6.01,5,79.92,189.72,7.99,0.5,0.58,6.66,0.67,221.76,6.84,126.36,2.02,1.33,0.25,0.76,0.65,6.89,2.88,1.8,10.04,8.21,4.03,0,8.46,13.32,5.06,2.08,33.4,45.49,11.42,21.08,8.88,42,44.31,41.62,51.29,55.44,84,8.88,1.68,0.63,"6.5","Cocoa Puffs :  is a delicious cocoa-flavored cereal that offers an irresistible crunch children and adults alike will enjoy. It is much-loved for its chocolatey flavor and is great for adding a rich and indulgent twist to breakfast."
"Corn Chex","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",114,114.7,0.74,0.12,0,0.19,0.4,26.32,24.58,1.74,3.44,1.98,0,235.6,100.13,8.06,60.45,8.99,3.75,39.99,286.44,8.99,0.74,0.5,4.99,0.6,335.73,5.89,194.06,2.39,1.49,0.09,0.06,0.77,5.74,1.14,0.62,8.77,6.94,3.97,0,9.82,10.01,1.92,1.29,49.94,34.1,5.71,31.83,9.99,62,38.15,31.19,46.17,83.93,99.46,9.92,0.6,0.05,"6.5","Corn Chex :  is a popular breakfast cereal made from cornmeal that has a crunchy texture. It's a sweet and mild flavor is enjoyed by kids and adults alike."
"Corn Flakes Sweetened","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",99,99.96,0.11,0.03,0,0.02,0.05,23.55,22.62,0.92,2.66,2.1,0,204.12,1.4,10.92,47.04,8.09,0.28,28.56,137.2,5.88,0.38,0.43,5.01,0.5,163.24,9.52,90.44,1.4,1.01,0.03,0,1.05,5,0.17,0.16,7.85,3.7,4.2,0,8.51,0.14,2.6,1,44.96,2.55,4.08,15.24,6.53,31.27,32.74,31.32,38.55,40.81,58.33,6.72,0.22,0,"I am sorry but I couldn't find the product you mentioned. However, if you meant Frosted Flakes (made by Kellogg's), the rank is 8.","Corn Flakes Sweetened :  is a crunchy and sweet breakfast cereal made with whole grain corn. It's a healthy and delicious, classic breakfast cereal that's a great way to start your morning."
"Corn Flakes, Honey Crunch","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",1030,1030.56,0,0,NA,0,0,279.34,278.66,0.68,278.39,1.02,0,13.56,20.34,6.78,176.28,1.42,0.75,13.56,0,1.7,0,0.13,0.41,0.08,6.78,6.78,0,0,0,0,0,57.97,51.53,0,0,93.11,2.71,2.03,0,0.56,2.03,1.61,3.75,7.91,6.78,1.94,0,1.88,0,9.91,2.56,6.26,1.7,0,0,0,0,"8.5","Corn Flakes, Honey Crunch : 's is a classic cereal made with crunchy flakes covered in a sweet honey coating, making it a perfect breakfast option. The cereal is a great source of energy, with vitamins and minerals that bring rich nutrition to a balanced breakfast."
"Corn Pops","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",116,116.1,0.39,0.15,0,0.06,0.15,26.91,24.39,2.52,9.39,1.44,0,107.1,2.1,8.4,33.9,1.8,1.5,15.6,140.1,6,0.38,0.43,5.01,0.5,165.9,5.7,94.2,1.5,0.99,0.04,0,0.9,5.8,0.6,0.75,8.97,10.08,2.88,0,4.46,0.21,2,0.72,10,13.64,2.23,15.57,6.67,31.25,32.77,31.31,38.54,41.48,62.5,6.6,0.24,0,"6.5","Corn Pops : 's is a sugar-flavored corn cereal with a crunchy texture. It also comes in a variety of flavors, including original, chocolate, apple cinnamon, and honey nut."
"Corn Total","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",124,124.7,1.96,0.47,0.01,0.63,0.71,27.11,24.22,2.9,9.08,4.74,0,21.75,2.9,53.65,391.5,0.75,0.67,129.05,13.05,9.86,0.22,0.08,2.57,0.13,60.9,60.9,0,0,0,0.1,0.44,110.27,6.24,3.01,2.36,9.04,11.6,9.48,0,0.91,0.29,12.77,8.33,4.19,6.06,18.44,1.45,10.96,18.73,6.13,16.04,10.37,15.22,0,0,0.68,0.36,"6.5","Corn Total :  is a crunchy and delicious cereal that has a blend of corn and wheat flakes, with a light touch of honey for sweetness. It is fortified with essential vitamins and minerals to provide essential nutrients making it a wholesome breakfast option."
"Cracklin' Oat Bran","unparsed","kellog","LOW_SODIUM","LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",258,258.07,9.21,4.05,0.07,3.2,1.83,45.93,37.63,8.3,18.29,6.01,0,182.93,38.55,99.96,263.29,2.42,2.03,181.63,159.41,20.25,0.5,0.57,6.66,0.67,218.21,12.41,120.87,2.03,1.31,0,1.96,1.96,12.9,14.17,20.25,15.31,33.19,12.02,0,7.62,3.85,23.8,5.6,13.43,18.41,25.95,17.71,22.5,41.92,43.72,41.65,51.26,54.55,84.39,8.71,0,1.63,"9.5","Cracklin' Oat Bran : 's is a crunchy oat and wheat cereal with added wheat bran for extra texture and a slightly sweet taste. It is a great source of dietary fiber, whole grain, and many vitamins and minerals for a nutritious start to your day."
"Cranberry Almond Crunch","unparsed","post","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",245,245.76,3.78,0.51,0,1.92,1.09,49.02,41.92,7.1,16.32,5.7,0,136.96,25.6,56.96,197.12,2.43,1.98,163.2,298.88,16,0.51,0.58,6.66,0.64,218.24,12.16,120.96,1.98,1.34,3.6,1.28,3.97,12.29,5.81,2.56,16.34,28.42,11.39,0,5.71,2.56,13.56,4.19,13.51,18.04,23.31,33.21,17.78,42.67,44.31,41.6,49.23,54.56,82.67,8.96,24.02,1.07,"8.5","Cranberry Almond Crunch : , is a nutritious cereal made from a blend of crunchy wheat flakes, sweet cranberries, and a hint of toasted almonds. It is sure to leave you feeling full and satisfied."
