"Timestamp","Age","Gender","City","Position","Total.years.of.experience","Years.of.experience.in.Germany","Seniority.level","Your.main.technology...programming.language","Other.technologies.programming.languages.you.use.often","Yearly.brutto.salary..without.bonus.and.stocks..in.EUR","Yearly.bonus...stocks.in.EUR","Annual.brutto.salary..without.bonus.and.stocks..one.year.ago..Only.answer.if.staying.in.the.same.country","Annual.bonus.stocks.one.year.ago..Only.answer.if.staying.in.same.country","Number.of.vacation.days","Employment.status","Сontract.duration","Main.language.at.work","Company.size","Company.type","Have.you.lost.your.job.due.to.the.coronavirus.outbreak.","Have.you.been.forced.to.have.a.shorter.working.week..Kurzarbeit...If.yes..how.many.hours.per.week","Have.you.received.additional.monetary.support.from.your.employer.due.to.Work.From.Home..If.yes..how.much.in.2020.in.EUR","Years.of.experience","Your.level","Current.Salary","Salary.one.year.ago","Salary.two.years.ago","Are.you.getting.any.Stock.Options.","Zeitstempel","Position..without.seniority.","Yearly.brutto.salary..without.bonus.and.stocks.","Yearly.bonus","Yearly.stocks","Yearly.brutto.salary..without.bonus.and.stocks..one.year.ago..Only.answer.if.staying.in.same.country","Yearly.bonus.one.year.ago..Only.answer.if.staying.in.same.country","Yearly.stocks.one.year.ago..Only.answer.if.staying.in.same.country","Number.of.home.office.days.per.month","Company.name","Company.business.sector","X0"
"24/11/2020 11:18:06",32,"Female","Hamburg","Data Engineer","2","2","Junior","Aws Hadoop Postgre Typescript","Python, Kotlin, Javascript / Typescript, SQL, AWS",52500,"",52500,"","30","Full-time employee","Unlimited contract","German","101-1000","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:16",NA,"Male","Berlin","Software Engineer","25","11","Senior","C++","Python, C/C++, SQL",100000,"101",80000,"13000","24","Self-employed (freelancer)","Temporary contract","English","11-50","Product","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:22",NA,"","Berlin","Software Engineer","","","Lead","PHP","",90000,"40000",NA,"","","Full-time employee","Unlimited contract","English","1000+","","No",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:26",34,"Male","Berlin","Software Engineer","14","5","Senior","Typescript","PHP, Javascript / Typescript, AWS",70000,"",NA,"","28","Full-time employee","Unlimited contract","English","11-50","Startup","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:40",28,"Male","Berlin","Designer (UI/UX)","11","2","Senior","","",75000,"9400",66000,"","30","Full-time employee","Unlimited contract","English","1000+","Product","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:41",31,"Male","Wolfsburg","Backend Developer","5","1","Senior","Kotlin","",75000,"2000",75000,"2000","25","Full-time employee","Unlimited contract","English","101-1000","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:18:52",29,"Male","Hamburg","Backend Developer","7","3","Middle","Ruby","Go, Kubernetes, Docker",60350,"",58000,"500","31","Full-time employee","Unlimited contract","English","1000+","Product","i didn't but will be looking for new one because of covid",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:19:10",41,"Male","Berlin","Product Manager","18","2","Senior","","SQL",78000,"",100000,"","28","Full-time employee","Unlimited contract","English","51-100","Startup","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:20:03",27,"Male","Berlin","Backend Developer","8","3","Senior","PHP","",60000,"",55000,"","25","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:20:49",34,"Male","Berlin","Mobile Developer","11","5","Lead","kotlin","Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000,"80000",75000,"75000","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:21:10",34,"Male","Berlin","DevOps","13","5","Senior","","",103000,"",90000,"","30","Full-time employee","Unlimited contract","English","1000+","Product","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:21:18",34,"Male","Berlin","Software Architect","15","9","Lead","NodeJS","Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000,"",92000,"7000","24","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:22:57",25,"Male","Berlin","Software Engineer","5","2","Senior","Javascript","Javascript / Typescript, AWS, Docker",65000,"",NA,"","28","Full-time employee","Unlimited contract","German","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:23:11",59,"Male","Berlin","Backend Developer","30","30","Senior","Java","Kotlin, Java / Scala, SQL",69000,"",69000,"2000","28","Full-time employee","Unlimited contract","German","101-1000","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:23:53",36,"Male","Berlin","Software Engineer","17","2","Lead","PHP","Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000,"",65000,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:25:03",38,"Male","Berlin","Team Lead","18","4","Lead","iOS","Swift, AWS",80000,"4000",80000,"2000","28","Full-time employee","Unlimited contract","English","101-1000","Product","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:25:20",24,"Male","Berlin","DevOps","6","3","Senior","Kubernetes","Python, AWS, Google Cloud, Kubernetes, Docker",75000,"10000",63000,"","27","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:25:32",37,"Male","Berlin","Test manager","6","6","Middle","Charles","",47400,"1000",44000,"1000","28","Full-time employee","Unlimited contract","German","1000+","Media","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:25:35",NA,"Male","Berlin","DevOps","14","5","Senior","","Python, Go, AWS, Kubernetes, Docker",67000,"7000",65000,"","30","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:26:16",40,"Male","Berlin","Product Manager","13","1","Senior","SQL","Python",70000,"",NA,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",0,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:26:59",29,"Male","Berlin","Software Engineer","6","4","Lead","Go","Python, Go, AWS, Kubernetes, Docker",85000,"5000",78000,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:27:34",31,"Male","Berlin","Backend Developer","5","1","Middle","java","Kotlin",65000,"",NA,"","28","Full-time employee","Unlimited contract","English","101-1000","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:27:39",29,"Female","Berlin","QA Engineer","7","1","Middle","","Javascript / Typescript",45000,"2000",NA,"","26","Full-time employee","Unlimited contract","English","51-100","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:27:49",39,"Male","Berlin","Software Engineer","8","5","Senior","Java","Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000,"",80000,"","29","Full-time employee","Unlimited contract","English","51-100","Startup","No",30,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:28:12",27,"Male","Berlin","Software Engineer","8","1","Middle","Javascript","",63000,"101",NA,"","24","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:28:14",33,"Male","Berlin","Data Scientist","5","4","Lead","Python","Python, R, Google Cloud, Docker",150000,"80000",81000,"4000","24","Full-time employee","Unlimited contract","English","1000+","Product","No",0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:28:58",28,"Female","Berlin","Designer (UI/UX)","7","7","Middle","Figma","",45000,"",37000,"","28","Full-time employee","Unlimited contract","German","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:29:18",30,"Male","Berlin","Software Engineer","8","3","Senior","JavaScript","Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000,"",72000,"3500","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:29:38",28,"Male","Berlin","Backend Developer","5","1","Senior","Kotlin","Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000,"",58000,"","25","Full-time employee","Unlimited contract","English","101-1000","Startup","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:29:55",38,"Male","Berlin","DevOps","10","5","Senior","Go/Python","AWS, Kubernetes, Docker",70000,"",65000,"","30","Full-time employee","Unlimited contract","English","51-100","Startup","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:30:00",29,"Male","Berlin","Frontend Developer","7","2","Senior","React","Javascript / Typescript",72000,"12000",63000,"","27","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:30:11",49,"Male","Berlin","Software Engineer","15","15","Senior","Java","SQL",67000,"1500",66000,"","29","Full-time employee","Unlimited contract","German","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:30:21",32,"Male","Berlin","Frontend Developer","10","5","Senior","TypeScript","AWS, Kubernetes",105000,"",80000,"","60","Self-employed (freelancer)","Temporary contract","English","101-1000","Product","Yes",NA,"5000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:30:38",33,"Female","Berlin","Software Engineer","12","5","Senior","С#","Python, C/C++, Javascript / Typescript, .NET, SQL",88000,"35200",96000,"20000","30","Full-time employee","Unlimited contract","English","1000+","Product","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:30:45",30,"Male","Berlin","Software Engineer","6","3","Senior","Java","Kotlin, AWS, Kubernetes, Docker",74000,"15000",54000,"54000","27","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:31:01",48,"Male","Berlin","Software Engineer","25","11","Senior","Java","Kotlin, Java / Scala, SQL",75000,"",75000,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:31:38",28,"Female","Berlin","Designer (UI/UX)","5","1","Senior","","",60000,"",NA,"","20","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:31:45",32,"Male","Berlin","Backend Developer","3","1","Middle","Java","AWS, Kubernetes, Docker",77000,"",62000,"","30","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:31:50",38,"Female","Berlin","Backend Developer","12","6","Senior","","C/C++",70000,"8000",63000,"","28","Full-time employee","Unlimited contract","English","1000+","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:31:51",31,"Male","Berlin","Software Engineer","7","3","Lead","Python","Python, SQL, Google Cloud, Kubernetes, Docker",76000,"10000",69000,"","27","Full-time employee","Unlimited contract","English","101-1000","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:32:11",35,"Male","Berlin","Backend Developer","10","7","Senior","Ruby","Go, AWS, Kubernetes, Docker, Elixir",75000,"",72000,"15000","30","Full-time employee","Unlimited contract","English","101-1000","Product","No",0,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:32:24",28,"Female","Berlin","Designer (UI/UX)","7","7","Middle","Figma","",45000,"",37000,"","28","Full-time employee","Unlimited contract","German","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:32:28",29,"Female","Berlin","QA Engineer","8","5","Senior","","",60000,"",52000,"","28","Full-time employee","Unlimited contract","English","51-100","Startup","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:32:48",32,"Male","Berlin","Backend Developer","8","5","Senior","PHP","PHP, SQL, AWS, Kubernetes, Docker",65000,"",60000,"","30","Full-time employee","Unlimited contract","English","11-50","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:32:57",44,"Male","Berlin","Backend Developer","12","3","Senior","Java","SQL, Go, Kubernetes, Docker",68000,"",68000,"","26","Full-time employee","Unlimited contract","English","11-50","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:33:08",NA,"Male","Berlin","Software Engineer","","1","Senior","PHP","",75000,"",NA,"","","Full-time employee","","English","","","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:33:33",35,"Male","Munich","Software Engineer","11","3","Senior","Php","Javascript / Typescript, AWS, Kubernetes, Docker",65000,"5000",65000,"","29","Full-time employee","Unlimited contract","German","101-1000","Product","No",NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:33:45",33,"Male","Munich","DevOps","15","4","Lead","Kubernetes","AWS, Google Cloud, Azure, Docker",90000,"10000",78000,"85000","30","Full-time employee","Unlimited contract","","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:33:46",29,"Male","Berlin","Software Engineer","5","3","Senior","Go","Java / Scala, AWS, Docker",75000,"",58000,"","30","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:33:51",66,"Male","Munich","Software Engineer","40","4","Lead","ruby on rails","Javascript / Typescript, Ruby, SQL",70000,"",50000,"","30","Full-time employee","Unlimited contract","German","51-100","Product","No",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:35:25",39,"Female","Berlin","Software Engineer","10","10","Senior","Java","Javascript / Typescript, SQL",70500,"1000",68000,"","30","Full-time employee","Unlimited contract","German","101-1000","Consulting / Agency","No",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:36:44",28,"Male","Munich","Backend Developer","5","4","Senior","Kotlin","Kotlin, Javascript / Typescript, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",72000,"",56000,"","28","Full-time employee","Unlimited contract","English","101-1000","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:37:39",34,"Male","Munich","Frontend Developer","5","5","Senior","JavaScript/ES6","",73500,"",70000,"","27","Full-time employee","Unlimited contract","English","11-50","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:37:52",34,"Male","Munich","Software Engineer","13","3","Lead",".NET",".NET, SQL",72000,"72000",60000,"60000","30","Full-time employee","Unlimited contract","English","51-100","Product","No",32,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:38:10",32,"Male","Munich","Frontend Developer","7","5","Senior","Javascript","Javascript / Typescript, Java / Scala",62000,"",60000,"","30","Full-time employee","Unlimited contract","German","101-1000","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:38:14",38,"Male","Stuttgart","Hardware Engineer","15","5","Lead","Hardware","",83000,"",NA,"","30","Full-time employee","Unlimited contract","English","1000+","Product","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:38:15",32,"Male","Berlin","Data Scientist","10","10","Head","","",110000,"30000",85000,"15000","30","Full-time employee","Unlimited contract","English","1000+","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:38:22",45,"Male","Schleswig-Holstein","Software Engineer","26","18","Senior","C#","C/C++, .NET, SQL",93000,"10000",93000,"11000","30","Full-time employee","Unlimited contract","German","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:39:21",48,"Male","London","Data Engineer","23","0","","Google Cloud Platform","Python, SQL, Go, Google Cloud, bash",110000,"",NA,"","","Company Director","Temporary contract","English","up to 10","Personal Ltd","Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:40:04",28,"Male","Berlin","Software Engineer","3","2","Middle","Js","Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker, Quorum",55000,"",42000,"","22","Full-time employee","Unlimited contract","English","11-50","Startup","No",24,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:40:05",29,"Male","Konstanz area","Mobile Developer","6","3","Middle","android","Kotlin",53000,"",53000,"","26","Full-time employee","Unlimited contract","English","11-50","Startup","No",20,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:40:24",36,"Male","Munich","Backend Developer","15","3","Senior","java","PHP",55000,"",55000,"","28","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:40:42",39,"Male","Berlin","Software Engineer","10","2","Senior","C#","Javascript / Typescript, .NET, SQL, Azure, Docker",75000,"",65000,"","30","Full-time employee","Unlimited contract","German","1000+","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:40:45",29,"Male","Munich","Software Engineer","7","3","Senior","JavaScript ","Kotlin, Javascript / Typescript, Java / Scala, Docker",80000,"5000",72000,"2500","24","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:42:49",31,"Male","Berlin","Engineering Manager","11","6","Lead","Java","Python, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",80000,"",79000,"","27","Full-time employee","Unlimited contract","English","101-1000","Startup","No",40,"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:43:28",30,"Male","Berlin","Backend Developer","5","5","Middle","Java","",55000,"",NA,"","27","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:43:34",30,"Male","Munich","DevOps","8","2","Middle","","",70200,"75000",63000,"63000","30","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:43:49",33,"Male","Frankfurt","Software Engineer","4","0","Middle","Java","",50000,"",NA,"","24","Full-time employee","Unlimited contract","English","11-50","Consulting / Agency","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:44:00",27,"Male","Berlin","Software Engineer","5","1","Senior","Scala","Java / Scala",78000,"",70000,"","30","Full-time employee","Unlimited contract","English","1000+","Startup","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24/11/2020 11:44:02",26,"Female","Munich","Data Scientist","6","2","Middle","python","Python, C/C++, SQL, Docker",60000,"10000",60000,"60000","26","Full-time employee","Unlimited contract","English","1000+","Product","No",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
